Region,Council,Swim site,Year,Annual grade,Latitude,Longitude
Southern Sydney,Sutherland Shire Council,Greenhills Beach,2025,Very Good,-34.034790000,151.184180000
Northern Sydney,Northern Beaches Council,Collaroy Beach,2025,Good,-33.732619000,151.302884000
Sydney Harbour,Mosman Municipal Council,Clifton Gardens,2025,Good,-33.839154000,151.253349000
Sydney Harbour,Lane Cove Council,Greenwich Baths,2025,Good,-33.841760000,151.182900000
Sydney Harbour,The Council of the Municipality of Hunters Hill,Woolwich Baths,2025,Good,-33.839190000,151.169490000
Shoalhaven Coast,Shoalhaven City Council,Shoalhaven Heads Beach,2025,Very Good,-34.851023000,150.750231000
Central Coast North,Central Coast Council,Lake Munmorah Baths,2025,Poor,-33.196008000,151.575617000
Central Coast South,Central Coast Council,Killcare Beach,2025,Good,-33.532601000,151.359665000
Northern Sydney,Northern Beaches Council,Bungan Beach,2025,Very Good,-33.665919000,151.320776000
Illawarra Coast,Wollongong City Council,Port Kembla Beach,2025,Good,-34.492998000,150.908698000
Newcastle,Newcastle City Council,Nobbys Beach,2025,Very Good,-32.923867000,151.793333000
Shoalhaven Coast,Shoalhaven City Council,Warrain Beach,2025,Very Good,-34.933961000,150.779775468
Central Coast North,Central Coast Council,Toowoon Bay,2025,Good,-33.361440000,151.500410000
Eurobodalla Coast,Eurobodalla Shire Council,Broulee Beach,2025,Very Good,-35.842773000,150.178880000
Central Coast North,Central Coast Council,Jenny Dixon Beach,2025,Good,-33.271633330,151.563666700
Sydney City,Randwick City Council,Malabar Beach,2025,Poor,-33.964360000,151.252247000
Northern Sydney,Northern Beaches Council,Palm Beach,2025,Very Good,-33.598779000,151.325824000
Central Coast South,Central Coast Council,Ocean Beach,2025,Good,-33.525137000,151.321489000
Sydney City,Randwick City Council,Maroubra Beach,2025,Very Good,-33.948896000,151.257459000
Western Sydney,Hawkesbury City Council,Macquarie Park - Windsor,2025,Poor,-33.604483400,150.817039300
Newcastle,Newcastle City Council,South Stockton Beach,2025,Very Good,-32.911100000,151.788799000
Georges River,Georges River Council,Jew Fish Bay Baths,2025,Good,-33.984080000,151.060023000
Central Coast South,Central Coast Council,North Avoca Beach,2025,Good,-33.458280000,151.440056000
Shoalhaven Coast,Shoalhaven City Council,Collingwood Beach,2025,Very Good,-35.061805000,150.674626000
Newcastle,Newcastle City Council,Bar Beach (Newcastle),2025,Good,-32.942110000,151.766969000
Lake Macquarie,Lake Macquarie City Council,Glenrock Lagoon Beach,2025,Very Good,-32.962518000,151.738538000
Central Coast South,Central Coast Council,Avoca Beach,2025,Good,-33.470110000,151.436555000
Shoalhaven Coast,Shoalhaven City Council,Racecourse Beach,2025,Very Good,-35.379126000,150.463413000
Central Coast North,Central Coast Council,Budgewoi Beach,2025,Very Good,-33.238683330,151.570250000
Sydney Harbour,Northern Beaches Council,Fairlight Beach,2025,Good,-33.800731000,151.274778000
Sydney City,Randwick City Council,Little Bay Beach,2025,Poor,-33.979882000,151.251417000
Southern Sydney,Sutherland Shire Council,Boat Harbour,2025,Poor,-34.038723000,151.200127000
Northern Sydney,Northern Beaches Council,Bilgola Beach,2025,Very Good,-33.645256000,151.328774000
Northern Sydney,Northern Beaches Council,South Curl Curl Beach,2025,Very Good,-33.773397000,151.293337000
Botany Bay,Bayside Council,Sandringham Baths,2025,Good,-34.000817000,151.140753000
Illawarra Coast,Wollongong City Council,Bellambi Beach,2025,Good,-34.363775000,150.921371000
Central Coast South,Central Coast Council,Terrigal Lagoon,2025,Poor,-33.441700000,151.441900000
Central Coast South,Central Coast Council,Copacabana Beach,2025,Good,-33.491300000,151.432900000
Southern Sydney,Sutherland Shire Council,Wanda Beach,2025,Very Good,-34.043930000,151.162200000
Central Coast North,Central Coast Council,Gwandalan,2025,Poor,-33.138325000,151.587494000
Richmond Valley,Richmond Valley Council,Main Beach (Evans Head),2025,Good,-29.111600000,153.434400000
Richmond Valley,Richmond Valley Council,Airforce Beach,2025,Good,-29.103400000,153.433000000
Central Coast South,Central Coast Council,MacMasters Beach,2025,Good,-33.499036000,151.425078000
Lake Macquarie,Lake Macquarie City Council,Swansea Heads Little Beach,2025,Good,-33.087507000,151.663204000
Northern Sydney,Northern Beaches Council,South Steyne Beach,2025,Good,-33.798890000,151.290300000
Northern Sydney,Northern Beaches Council,Shelly Beach (Manly),2025,Poor,-33.800514000,151.297668000
Bellingen,Bellingen Shire Council,Mylestom Baths (formerly Mylestom Pool),2025,Follow up,-30.467220000,153.042960000
Northern Sydney,Northern Beaches Council,Warriewood Beach,2025,Good,-33.691070000,151.309221000
Central Coast North,Central Coast Council,Bateau Bay Beach,2025,Good,-33.384831000,151.483061000
Port Hacking,Sutherland Shire Council,Jibbon Beach,2025,Good,-34.080661000,151.159371000
Southern Sydney,Sutherland Shire Council,Elouera Beach,2025,Very Good,-34.046610000,151.159660000
Central Coast North,Central Coast Council,Shelly Beach (Central Coast),2025,Good,-33.373470000,151.488330000
Botany Bay,Bayside Council,Ramsgate Baths,2025,Good,-33.985434000,151.149199000
Bellingen,Bellingen Shire Council,Hungry Head Beach,2025,Good,-30.522739000,153.028284000
Pittwater,Northern Beaches Council,North Scotland Island,2025,Good,-33.636203000,151.292184000
Sydney Harbour,Northern Beaches Council,Davidson Reserve,2025,Fair,-33.767929000,151.200343000
